URL,HTTP,HTTPS,Parked,HSTS,HTTPS Redirect,SSLV23,SSLV2,SSLV3,TLSV1,TLSV1_1,TLSV1_2,TLSV1_3
google.co.in,False,False,False,False,False,False,False,False,False,False,False,False
google.co.uk,False,False,False,False,False,False,False,False,False,False,False,False
google.de,False,False,False,False,False,False,False,False,False,False,False,False
qq.com,False,False,False,False,False,False,False,False,False,False,False,False
vk.com,False,False,False,False,False,False,False,False,False,False,False,False
hdfcbank.com,False,True,False,False,False,True,False,False,True,True,True,True
gismeteo.ru,False,False,False,False,False,False,False,False,False,False,False,False
diply.com,False,False,False,False,False,False,False,False,False,False,False,False
iwanttodeliver.com,False,False,False,False,False,False,False,False,False,False,False,False
blogspot.com,False,False,False,False,False,False,False,False,False,False,False,False
pinterest.com,False,False,False,False,False,False,False,False,False,False,False,False
github.com,False,False,False,False,False,False,False,False,False,False,False,False
nytimes.com,False,False,False,False,False,False,False,False,False,False,False,False
coccoc.com,False,False,False,False,False,False,False,False,False,False,False,False
google.co.id,False,False,False,False,False,False,False,False,False,False,False,False
google.co.th,False,False,False,False,False,False,False,False,False,False,False,False
so.com,False,False,False,False,False,False,False,False,False,False,False,False
spotify.com,False,False,False,False,False,False,False,False,False,False,False,False
google.nl,False,False,False,False,False,False,False,False,False,False,False,False
craigslist.org,False,False,False,False,False,False,False,False,False,False,False,False
xvideos.com,False,False,False,False,False,False,False,False,False,False,False,False
providr.com,False,False,False,False,False,False,False,False,False,False,False,False
google.co.za,False,False,False,False,False,False,False,False,False,False,False,False
google.com.eg,False,False,False,False,False,False,False,False,False,False,False,False
exosrv.com,False,False,False,False,False,False,False,False,False,False,False,False
ebay.de,False,False,False,False,False,False,False,False,False,False,False,False
pixnet.net,False,False,False,False,False,False,False,False,False,False,False,False
google.co.ao,False,False,False,False,False,False,False,False,False,False,False,False
ask.com,False,False,False,False,False,False,False,False,False,False,False,False
yahoo.co.jp,False,False,False,False,False,False,False,False,False,False,False,False
bbc.com,False,False,False,False,False,False,False,False,False,False,False,False
roblox.com,False,False,False,False,False,False,False,False,False,False,False,False
dropbox.com,False,False,False,False,False,False,False,False,False,False,False,False
ebay.com,False,False,False,False,False,False,False,False,False,False,False,False
chaturbate.com,False,False,False,False,False,False,False,False,False,False,False,False
mercadolivre.com.br,False,False,False,False,False,False,False,False,False,False,False,False
soundcloud.com,False,False,False,False,False,False,False,False,False,False,False,False
thepiratebay.org,False,False,False,False,False,False,False,False,False,False,False,False
4chan.org,False,False,False,False,False,False,False,False,False,False,False,False
alipay.com,False,False,False,False,False,False,False,False,False,False,False,False
thestartmagazine.com,False,False,False,False,False,False,False,False,False,False,False,False
detik.com,False,False,False,False,False,False,False,False,False,False,False,False
etsy.com,False,False,False,False,False,False,False,False,False,False,False,False
onlinesbi.com,False,False,False,False,False,False,False,False,False,False,False,False
bing.com,False,False,False,False,False,False,False,False,False,False,False,False
google.com.mx,False,False,False,False,False,False,False,False,False,False,False,False
alibaba.com,False,False,False,False,False,False,False,False,False,False,False,False
google.pl,False,False,False,False,False,False,False,False,False,False,False,False
hulu.com,False,False,False,False,False,False,False,False,False,False,False,False
amazon.es,False,False,False,False,False,False,False,False,False,False,False,False
biobiochile.cl,False,False,False,False,False,False,False,False,False,False,False,False
naver.jp,False,False,False,False,False,False,False,False,False,False,False,False
espn.com,True,False,False,False,True,False,False,False,False,False,False,False
amazonaws.com,False,False,False,False,False,False,False,False,False,False,False,False
soso.com,False,False,False,False,False,False,False,False,False,False,False,False
t.co,True,True,False,True,True,True,False,False,True,True,True,False
steampowered.com,True,False,False,False,True,False,False,False,False,False,False,False
imdb.com,True,False,False,False,True,False,False,False,False,False,False,False
googleusercontent.com,False,False,False,False,False,False,False,False,False,False,False,False
dailymail.co.uk,False,False,False,False,False,False,False,False,False,False,False,False
discordapp.com,True,True,False,True,True,True,False,False,True,True,True,False
adobe.com,True,True,False,False,True,True,False,False,True,True,True,False
microsoft.com,False,False,False,False,False,False,False,False,False,False,False,False
fc2.com,True,True,False,False,True,True,False,False,True,True,True,False
wikipedia.org,True,True,False,True,True,True,False,False,True,True,True,False
douyu.com,True,False,False,False,True,False,False,False,False,False,False,False
vimeo.com,True,True,False,True,True,True,False,False,True,True,True,False
msn.com,False,False,False,False,False,False,False,False,False,False,False,False
wordpress.com,True,True,False,True,True,True,False,False,True,True,True,False
tumblr.com,True,True,False,True,True,True,False,False,True,True,True,False
google.co.jp,False,True,False,True,False,True,False,False,True,True,True,False
nextoptim.com,False,True,False,False,False,True,False,False,True,True,True,False
netflix.com,True,True,False,True,True,True,False,False,True,True,True,False
chase.com,True,True,False,True,True,True,False,False,True,True,True,False
coinmarketcap.com,True,True,False,False,True,True,False,False,True,True,True,False
doubleclick.net,False,True,False,True,False,True,False,False,True,True,True,False
whatsapp.com,True,True,False,True,True,True,False,True,True,True,True,False
360.cn,True,True,False,False,True,True,False,True,True,True,True,False
gizmodo.com,False,True,False,False,False,True,False,False,False,False,True,False
linkedin.com,True,True,False,True,True,True,False,False,True,True,True,False
popads.net,True,True,False,True,True,True,False,False,True,True,True,False
twitch.tv,True,True,False,True,True,True,False,False,True,True,True,False
bestbuy.com,False,True,False,False,False,True,False,False,True,True,True,False
livejasmin.com,True,True,False,False,True,True,False,False,True,True,True,False
xnxx.com,True,True,False,True,True,True,False,False,True,True,True,False
cnet.com,True,True,False,True,True,True,False,False,True,True,True,False
imgur.com,True,True,False,False,True,True,False,False,True,True,True,False
cnn.com,False,True,False,False,False,True,False,False,True,True,True,False
youporn.com,False,True,False,False,False,True,False,False,True,True,True,False
mozilla.org,True,True,False,True,True,True,False,True,True,True,True,False
fbcdn.net,True,True,False,True,True,True,False,False,True,True,True,False
savefrom.net,False,True,False,True,False,True,False,False,True,True,True,False
walmart.com,True,True,False,True,True,True,False,False,False,True,True,False
ebay.co.uk,True,True,False,False,True,True,False,False,True,True,True,False
salesforce.com,True,True,False,False,True,True,False,False,True,True,True,False
deloton.com,True,True,False,False,True,True,False,False,True,True,True,False
detail.tmall.com,False,True,False,False,False,True,False,False,True,True,True,False
mediafire.com,True,True,False,True,True,True,False,False,True,True,True,False
dailymotion.com,True,True,False,True,True,True,False,False,True,True,True,False
ok.ru,True,True,False,True,True,True,False,False,True,True,True,False
paypal.com,True,True,False,True,True,True,False,False,True,True,True,False
vice.com,True,True,False,True,True,True,False,False,True,True,True,False
pornhub.com,True,True,False,True,True,True,False,False,True,True,True,False
wikia.com,True,True,False,False,True,True,False,False,False,False,True,False
google.ch,False,True,False,True,False,True,False,False,True,True,True,False
google.ca,False,True,False,True,False,True,False,False,True,True,True,False
google.com.au,True,True,False,True,True,True,False,False,True,True,True,False
bongacams.com,True,True,False,False,True,True,False,False,True,True,True,False
theguardian.com,True,True,False,True,True,True,False,False,True,True,True,False
yandex.ru,True,True,False,True,True,True,False,True,True,True,True,False
booking.com,False,True,False,True,False,True,False,False,True,True,True,False
babytree.com,False,True,False,False,False,True,False,False,True,True,True,False
csdn.net,True,True,False,False,True,True,False,False,True,True,True,False
ettoday.net,True,True,False,False,True,True,False,False,True,True,True,False
zhihu.com,True,True,False,False,True,True,False,False,True,True,True,False
mail.ru,True,True,False,True,True,True,False,False,True,True,True,False
google.se,True,True,False,True,True,True,False,False,True,True,True,False
sina.com.cn,True,True,False,False,True,True,False,False,True,True,True,False
google.be,True,True,False,True,True,True,False,False,True,True,True,False
amazon.it,False,True,False,True,False,True,False,False,True,True,True,False
google.at,True,True,False,True,True,True,False,False,True,True,True,False
jd.com,True,True,False,False,True,True,False,False,True,True,True,False
google.com.sg,True,True,False,True,True,True,False,False,True,True,True,False
aparat.com,True,True,False,False,True,True,False,False,True,True,True,False
amazon.co.jp,True,True,False,True,True,True,False,False,True,True,True,False
onet.pl,False,True,False,False,False,True,False,False,True,True,True,False
blogger.com,True,True,False,False,True,True,False,False,True,True,True,False
google.it,True,True,False,True,True,True,False,False,True,True,True,False
list.tmall.com,True,True,False,True,True,True,False,False,True,True,True,False
office.com,True,True,False,True,True,True,False,False,True,True,True,False
google.com.ua,True,True,False,True,True,True,False,False,True,True,True,False
google.ru,True,True,False,True,True,True,False,False,True,True,True,False
google.com.tw,True,True,False,True,True,True,False,False,True,True,True,False
google.com.hk,True,True,False,True,True,True,False,False,True,True,True,False
amazon.in,True,True,False,True,True,True,False,False,True,True,True,False
avito.ru,True,True,False,False,True,True,False,False,True,True,True,False
tmall.com,True,True,False,True,True,True,False,False,True,True,True,False
google.az,True,True,False,True,True,True,False,False,True,True,True,False
google.es,True,True,False,True,True,True,False,False,True,True,True,False
google.fr,True,True,False,True,True,True,False,False,True,True,True,False
google.com.br,True,True,False,True,True,True,False,False,True,True,True,False
google.com.tr,True,True,False,True,True,True,False,False,True,True,True,False
nicovideo.jp,True,False,False,False,True,False,False,False,False,False,False,False
tianya.cn,True,False,False,False,True,False,False,False,False,False,False,False
youth.cn,True,False,False,False,True,False,False,False,False,False,False,False
hao123.com,True,False,False,False,True,False,False,False,False,False,False,False
baidu.com,False,False,False,False,False,False,False,False,False,False,False,False
